year,round,event,circuit,driver_code,driver_number,driver_age,constructor,grid_position,finish_position,position_gain,points_constructor
2020,1,Austrian Grand Prix,Spielberg,77,77,30,Mercedes,2,1,1,100.0
2020,1,Austrian Grand Prix,Spielberg,33,33,27,Red Bull Racing,22,20,2,100.0
2020,1,Austrian Grand Prix,Spielberg,4,4,36,McLaren,3,3,0,100.0
2020,1,Austrian Grand Prix,Spielberg,23,23,34,Red Bull Racing,15,13,2,100.0
2020,1,Austrian Grand Prix,Spielberg,44,44,31,Mercedes,5,4,1,100.0
2020,1,Austrian Grand Prix,Spielberg,11,11,36,Racing Point,6,6,0,100.0
2020,1,Austrian Grand Prix,Spielberg,16,16,28,Ferrari,3,2,1,100.0
2020,1,Austrian Grand Prix,Spielberg,55,55,30,McLaren,5,5,0,100.0
2020,1,Austrian Grand Prix,Spielberg,18,18,33,Racing Point,18,18,0,100.0
2020,1,Austrian Grand Prix,Spielberg,3,3,26,Renault,19,19,0,100.0
2020,1,Austrian Grand Prix,Spielberg,5,5,30,Ferrari,11,10,1,100.0
2020,1,Austrian Grand Prix,Spielberg,10,10,34,AlphaTauri,4,7,-3,100.0
2020,1,Austrian Grand Prix,Spielberg,26,26,34,AlphaTauri,9,12,-3,100.0
2020,1,Austrian Grand Prix,Spielberg,31,31,31,Renault,8,8,0,100.0
2020,1,Austrian Grand Prix,Spielberg,8,8,28,Haas F1 Team,13,16,-3,100.0
2020,1,Austrian Grand Prix,Spielberg,20,20,27,Haas F1 Team,14,17,-3,100.0
2020,1,Austrian Grand Prix,Spielberg,63,63,31,Williams,11,15,-4,100.0
2020,1,Austrian Grand Prix,Spielberg,99,99,31,Alfa Romeo Racing,5,9,-4,100.0
2020,1,Austrian Grand Prix,Spielberg,7,7,26,Alfa Romeo Racing,10,14,-4,100.0
2020,1,Austrian Grand Prix,Spielberg,6,6,29,Williams,7,11,-4,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,7,7,28,Alfa Romeo Racing,7,11,-4,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,55,55,25,McLaren,9,9,0,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,44,44,31,Mercedes,2,1,1,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,33,33,35,Red Bull Racing,5,3,2,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,77,77,29,Mercedes,3,2,1,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,31,31,25,Renault,18,18,0,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,23,23,35,Red Bull Racing,6,4,2,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,10,10,28,AlphaTauri,12,15,-3,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,3,3,24,Renault,8,8,0,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,4,4,35,McLaren,5,5,0,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,5,5,33,Ferrari,21,20,1,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,63,63,29,Williams,12,16,-4,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,18,18,36,Racing Point,7,7,0,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,26,26,35,AlphaTauri,7,10,-3,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,16,16,32,Ferrari,20,19,1,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,20,20,24,Haas F1 Team,9,12,-3,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,11,11,34,Racing Point,6,6,0,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,6,6,34,Williams,13,17,-4,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,99,99,33,Alfa Romeo Racing,10,14,-4,100.0
2020,1,Styrian Grand Prix,Styrian Grand Prix,8,8,35,Haas F1 Team,10,13,-3,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,31,31,35,Renault,14,14,0,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,44,44,26,Mercedes,2,1,1,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,77,77,35,Mercedes,4,3,1,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,18,18,30,Racing Point,4,4,0,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,11,11,27,Racing Point,7,7,0,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,5,5,32,Ferrari,7,6,1,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,16,16,26,Ferrari,12,11,1,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,33,33,28,Red Bull Racing,4,2,2,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,4,4,26,McLaren,13,13,0,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,55,55,30,McLaren,10,10,0,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,10,10,28,AlphaTauri,17,20,-3,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,3,3,32,Renault,8,8,0,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,63,63,30,Williams,14,18,-4,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,23,23,25,Red Bull Racing,7,5,2,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,6,6,27,Williams,15,19,-4,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,20,20,32,Haas F1 Team,6,9,-3,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,26,26,35,AlphaTauri,9,12,-3,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,8,8,25,Haas F1 Team,12,15,-3,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,99,99,33,Alfa Romeo Racing,13,17,-4,100.0
2020,1,Hungarian Grand Prix,Hungarian Grand Prix,7,7,32,Alfa Romeo Racing,12,16,-4,100.0
2020,1,British Grand Prix,Silverstone,44,44,33,Mercedes,2,1,1,100.0
2020,1,British Grand Prix,Silverstone,77,77,28,Mercedes,12,11,1,100.0
2020,1,British Grand Prix,Silverstone,33,33,25,Red Bull Racing,4,2,2,100.0
2020,1,British Grand Prix,Silverstone,16,16,27,Ferrari,4,3,1,100.0
2020,1,British Grand Prix,Silverstone,4,4,35,McLaren,5,5,0,100.0
2020,1,British Grand Prix,Silverstone,18,18,35,Racing Point,9,9,0,100.0
2020,1,British Grand Prix,Silverstone,55,55,30,McLaren,13,13,0,100.0
2020,1,British Grand Prix,Silverstone,3,3,35,Renault,4,4,0,100.0
2020,1,British Grand Prix,Silverstone,31,31,36,Renault,6,6,0,100.0
2020,1,British Grand Prix,Silverstone,5,5,31,Ferrari,11,10,1,100.0
2020,1,British Grand Prix,Silverstone,10,10,26,AlphaTauri,4,7,-3,100.0
2020,1,British Grand Prix,Silverstone,23,23,24,Red Bull Racing,10,8,2,100.0
2020,1,British Grand Prix,Silverstone,27,27,27,Racing Point,20,20,0,100.0
2020,1,British Grand Prix,Silverstone,20,20,25,Haas F1 Team,16,19,-3,100.0
2020,1,British Grand Prix,Silverstone,99,99,31,Alfa Romeo Racing,10,14,-4,100.0
2020,1,British Grand Prix,Silverstone,7,7,27,Alfa Romeo Racing,13,17,-4,100.0
2020,1,British Grand Prix,Silverstone,8,8,25,Haas F1 Team,13,16,-3,100.0
2020,1,British Grand Prix,Silverstone,6,6,29,Williams,11,15,-4,100.0
2020,1,British Grand Prix,Silverstone,26,26,29,AlphaTauri,15,18,-3,100.0
2020,1,British Grand Prix,Silverstone,63,63,33,Williams,8,12,-4,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,77,77,27,Mercedes,4,3,1,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,44,44,29,Mercedes,3,2,1,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,27,27,36,Racing Point,7,7,0,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,33,33,25,Red Bull Racing,3,1,2,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,3,3,33,Renault,14,14,0,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,18,18,35,Racing Point,6,6,0,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,10,10,25,AlphaTauri,8,11,-3,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,16,16,33,Ferrari,5,4,1,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,23,23,27,Red Bull Racing,7,5,2,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,4,4,31,McLaren,9,9,0,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,5,5,30,Ferrari,13,12,1,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,55,55,35,McLaren,13,13,0,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,8,8,32,Haas F1 Team,13,16,-3,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,31,31,31,Renault,8,8,0,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,63,63,28,Williams,14,18,-4,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,26,26,36,AlphaTauri,7,10,-3,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,20,20,25,Haas F1 Team,17,20,-3,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,6,6,28,Williams,15,19,-4,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,99,99,31,Alfa Romeo Racing,13,17,-4,100.0
2020,1,Anniversary Grand Prix,Anniversary Grand Prix,7,7,33,Alfa Romeo Racing,11,15,-4,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,44,44,32,Mercedes,2,1,1,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,77,77,35,Mercedes,4,3,1,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,33,33,35,Red Bull Racing,4,2,2,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,11,11,35,Racing Point,5,5,0,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,18,18,36,Racing Point,4,4,0,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,23,23,32,Red Bull Racing,10,8,2,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,55,55,36,McLaren,6,6,0,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,4,4,36,McLaren,10,10,0,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,16,16,24,Ferrari,21,20,1,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,10,10,32,AlphaTauri,6,9,-3,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,5,5,30,Ferrari,8,7,1,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,26,26,32,AlphaTauri,9,12,-3,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,3,3,31,Renault,11,11,0,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,7,7,24,Alfa Romeo Racing,10,14,-4,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,31,31,35,Renault,13,13,0,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,20,20,31,Haas F1 Team,12,15,-3,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,8,8,31,Haas F1 Team,16,19,-3,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,63,63,34,Williams,13,17,-4,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,6,6,26,Williams,14,18,-4,100.0
2020,1,Spanish Grand Prix,Spanish Grand Prix,99,99,24,Alfa Romeo Racing,12,16,-4,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,44,44,31,Mercedes,2,1,1,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,77,77,26,Mercedes,3,2,1,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,33,33,26,Red Bull Racing,5,3,2,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,3,3,24,Renault,4,4,0,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,23,23,34,Red Bull Racing,8,6,2,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,31,31,28,Renault,5,5,0,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,55,55,33,McLaren,20,20,0,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,11,11,30,Racing Point,10,10,0,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,18,18,33,Racing Point,9,9,0,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,4,4,32,McLaren,7,7,0,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,26,26,35,AlphaTauri,8,11,-3,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,10,10,30,AlphaTauri,5,8,-3,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,16,16,32,Ferrari,15,14,1,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,5,5,31,Ferrari,14,13,1,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,63,63,35,Williams,15,19,-4,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,7,7,25,Alfa Romeo Racing,8,12,-4,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,8,8,24,Haas F1 Team,12,15,-3,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,99,99,30,Alfa Romeo Racing,14,18,-4,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,6,6,30,Williams,12,16,-4,100.0
2020,1,Belgian Grand Prix,Belgian Grand Prix,20,20,31,Haas F1 Team,14,17,-3,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,44,44,28,Mercedes,8,7,1,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,77,77,26,Mercedes,6,5,1,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,55,55,35,McLaren,2,2,0,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,11,11,31,Racing Point,10,10,0,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,33,33,29,Red Bull Racing,19,17,2,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,4,4,34,McLaren,4,4,0,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,3,3,26,Renault,6,6,0,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,18,18,24,Racing Point,3,3,0,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,23,23,26,Red Bull Racing,17,15,2,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,10,10,28,AlphaTauri,1,1,0,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,26,26,26,AlphaTauri,6,9,-3,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,31,31,24,Renault,8,8,0,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,16,16,28,Ferrari,19,18,1,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,7,7,33,Alfa Romeo Racing,9,13,-4,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,20,20,30,Haas F1 Team,16,19,-3,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,8,8,30,Haas F1 Team,9,12,-3,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,5,5,34,Ferrari,21,20,1,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,99,99,32,Alfa Romeo Racing,12,16,-4,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,63,63,33,Williams,10,14,-4,100.0
2020,1,Italian Grand Prix,Italian Grand Prix,6,6,33,Williams,7,11,-4,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,44,44,35,Mercedes,2,1,1,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,77,77,36,Mercedes,3,2,1,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,33,33,26,Red Bull Racing,21,19,2,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,23,23,30,Red Bull Racing,5,3,2,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,16,16,24,Ferrari,9,8,1,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,18,18,27,Racing Point,13,13,0,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,11,11,36,Racing Point,5,5,0,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,3,3,27,Renault,4,4,0,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,55,55,28,McLaren,18,18,0,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,31,31,30,Renault,14,14,0,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,4,4,30,McLaren,6,6,0,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,26,26,36,AlphaTauri,4,7,-3,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,7,7,34,Alfa Romeo Racing,5,9,-4,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,5,5,36,Ferrari,11,10,1,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,8,8,27,Haas F1 Team,9,12,-3,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,10,10,36,AlphaTauri,17,20,-3,100.0
