resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,circuitId,date,driverRef,dob,nationality,name,alt,country,points_constructor,status,url,quali_position,q1,q2,q3,pit_stops_count,pit_stops_duration_ms,avg_lap_time_ms,std_lap_time_ms,weather_temp_c,weather_precip_mm,weather_rain_mm,weather_cloud_pct,driver_age,avg_stint_length
1,18,1,1,22,1,1,1,1,10.0,58,1:34:50.616,5690616,39,2,1:27.452,218.300,1,2008,1,2008-03-16,hamilton,1985-01-07,British,McLaren,10,Australia,14.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,1.0,1:26.572,1:25.187,1:26.714,0.0,,98114.06896551725,20990.35684514173,37.1,0.0,0.0,30.0,23.186858316221766,58.0
2,18,2,2,3,5,2,2,2,8.0,58,+5.478,5696094,41,3,1:27.739,217.586,1,2008,1,2008-03-16,heidfeld,1977-05-10,German,BMW Sauber,10,Australia,8.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,5.0,1:25.960,1:25.518,1:27.236,0.0,,98208.5172413793,20212.29842329489,37.1,0.0,0.0,30.0,30.850102669404517,58.0
3,18,3,3,7,7,3,3,3,6.0,58,+8.163,5698779,41,5,1:28.090,216.719,1,2008,1,2008-03-16,rosberg,1985-06-27,German,Williams,10,Australia,9.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,7.0,1:26.295,1:26.059,1:28.687,0.0,,98254.81034482758,18957.199698320324,37.1,0.0,0.0,30.0,22.718685831622178,58.0
4,18,4,4,5,11,4,4,4,5.0,58,+17.181,5707797,58,7,1:28.603,215.464,1,2008,1,2008-03-16,alonso,1981-07-29,Spanish,Renault,10,Australia,5.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,12.0,1:26.907,1:26.188,,0.0,,98410.29310344828,19640.823974219296,37.1,0.0,0.0,30.0,26.63107460643395,58.0
5,18,5,1,23,3,5,5,5,4.0,58,+18.014,5708630,43,1,1:27.418,218.385,1,2008,1,2008-03-16,kovalainen,1981-10-19,Finnish,McLaren,10,Australia,14.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,3.0,1:25.664,1:25.452,1:27.079,0.0,,98424.6551724138,21826.401775727925,37.1,0.0,0.0,30.0,26.406570841889117,58.0
6,18,6,3,8,13,6,6,6,3.0,57,,,50,14,1:29.639,212.974,11,2008,1,2008-03-16,nakajima,1985-01-11,Japanese,Williams,10,Australia,9.0,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,14.0,1:26.891,1:26.413,,0.0,,100082.19298245614,22953.24417814132,37.1,0.0,0.0,30.0,23.175906913073238,57.0
7,18,7,5,14,17,7,7,7,2.0,55,,,54,8,1:29.534,213.224,5,2008,1,2008-03-16,bourdais,1979-02-28,French,Toro Rosso,10,Australia,2.0,Engine,http://en.wikipedia.org/wiki/2008_Formula_One_season,18.0,1:27.446,,,0.0,,98864.38181818182,17491.807452179084,37.1,0.0,0.0,30.0,29.045859000684462,55.0
8,18,8,6,1,15,8,8,8,1.0,53,,,20,4,1:27.903,217.180,5,2008,1,2008-03-16,raikkonen,1979-10-17,Finnish,Ferrari,10,Australia,1.0,Engine,http://en.wikipedia.org/wiki/2008_Formula_One_season,16.0,1:26.140,,,0.0,,99534.71698113208,19536.83114449117,37.1,0.0,0.0,30.0,28.413415468856947,53.0
9,18,9,2,4,2,,R,9,0.0,47,,,15,9,1:28.753,215.100,4,2008,1,2008-03-16,kubica,1984-12-07,Polish,BMW Sauber,10,Australia,8.0,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,2.0,1:26.103,1:25.315,1:26.869,0.0,,99290.74468085106,20625.533825469076,37.1,0.0,0.0,30.0,23.27173169062286,47.0
10,18,10,7,12,18,,R,10,0.0,43,,,23,13,1:29.558,213.166,3,2008,1,2008-03-16,glock,1982-03-18,German,Toyota,10,Australia,0.0,Accident,http://en.wikipedia.org/wiki/2008_Formula_One_season,9.0,1:26.919,1:26.164,1:29.593,0.0,,96895.86046511628,16196.621071165539,37.1,0.0,0.0,30.0,25.9958932238193,43.0
11,18,11,8,18,19,,R,11,0.0,32,,,24,15,1:30.892,210.038,7,2008,1,2008-03-16,sato,1977-01-28,Japanese,Super Aguri,10,Australia,0.0,Transmission,http://en.wikipedia.org/wiki/2008_Formula_One_season,20.0,1:28.208,,,0.0,,99014.0,15457.854760815017,37.1,0.0,0.0,30.0,31.129363449691994,32.0
12,18,12,4,6,20,,R,12,0.0,30,,,20,16,1:31.384,208.907,8,2008,1,2008-03-16,piquet_jr,1985-07-25,Brazilian,Renault,10,Australia,5.0,Clutch,http://en.wikipedia.org/wiki/2008_Formula_One_season,21.0,1:28.330,,,0.0,,99643.6,17153.907510213685,37.1,0.0,0.0,30.0,22.642026009582477,30.0
13,18,13,6,2,4,,R,13,0.0,29,,,23,6,1:28.175,216.510,5,2008,1,2008-03-16,massa,1981-04-25,Brazilian,Ferrari,10,Australia,1.0,Engine,http://en.wikipedia.org/wiki/2008_Formula_One_season,4.0,1:25.994,1:25.691,1:27.178,0.0,,97659.86206896552,19054.659272217268,37.1,0.0,0.0,30.0,26.8911704312115,29.0
14,18,14,9,9,8,,R,14,0.0,25,,,21,11,1:29.502,213.300,4,2008,1,2008-03-16,coulthard,1971-03-27,British,Red Bull,10,Australia,0.0,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,8.0,1:26.381,1:26.063,1:29.041,0.0,,95462.88,14746.783805630299,37.1,0.0,0.0,30.0,36.9719370294319,25.0
15,18,15,7,11,6,,R,15,0.0,19,,,18,10,1:29.310,213.758,10,2008,1,2008-03-16,trulli,1974-07-13,Italian,Toyota,10,Australia,0.0,Electrical,http://en.wikipedia.org/wiki/2008_Formula_One_season,6.0,1:26.427,1:26.101,1:28.527,0.0,,95126.78947368421,15944.365077700468,37.1,0.0,0.0,30.0,33.67556468172484,19.0
16,18,16,10,20,22,,R,16,0.0,8,,,8,17,1:32.021,207.461,9,2008,1,2008-03-16,sutil,1983-01-11,German,Force India,10,Australia,0.0,Hydraulics,http://en.wikipedia.org/wiki/2008_Formula_One_season,19.0,1:27.859,,,0.0,,105505.875,23622.32130505564,37.1,0.0,0.0,30.0,25.177275838466805,8.0
17,18,17,9,10,14,,R,17,0.0,0,,,,,,,4,2008,1,2008-03-16,webber,1976-08-27,Australian,Red Bull,10,Australia,0.0,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,15.0,1:26.914,,,0.0,,,,37.1,0.0,0.0,30.0,31.550992470910334,0.0
18,18,18,11,16,12,,R,18,0.0,0,,,,,,,4,2008,1,2008-03-16,button,1980-01-19,British,Honda,10,Australia,0.0,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,13.0,1:26.712,1:26.259,,0.0,,,,37.1,0.0,0.0,30.0,28.15605749486653,0.0
19,18,19,8,19,21,,R,19,0.0,0,,,,,,,4,2008,1,2008-03-16,davidson,1979-04-18,British,Super Aguri,10,Australia,0.0,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,22.0,1:29.059,,,0.0,,,,37.1,0.0,0.0,30.0,28.91170431211499,0.0
20,18,20,5,15,9,,R,20,0.0,0,,,,,,,4,2008,1,2008-03-16,vettel,1987-07-03,German,Toro Rosso,10,Australia,2.0,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,10.0,1:26.702,1:25.842,,0.0,,,,37.1,0.0,0.0,30.0,20.70362765229295,0.0
21,18,21,10,21,16,,R,21,0.0,0,,,,,,,4,2008,1,2008-03-16,fisichella,1973-01-14,Italian,Force India,10,Australia,0.0,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,17.0,1:27.207,,,0.0,,,,37.1,0.0,0.0,30.0,35.167693360711844,0.0
22,18,22,11,17,10,,D,22,0.0,58,,,44,8,1:28.736,215.141,2,2008,1,2008-03-16,barrichello,1972-05-23,Brazilian,Honda,10,Australia,0.0,Disqualified,http://en.wikipedia.org/wiki/2008_Formula_One_season,11.0,1:26.369,1:26.173,,0.0,,99018.43103448275,19329.941338355973,37.1,0.0,0.0,30.0,35.813826146475016,58.0
23,19,8,6,1,2,1,1,1,10.0,56,1:31:18.555,5478555,37,2,1:35.405,209.158,1,2008,2,2008-03-23,raikkonen,1979-10-17,Finnish,Ferrari,18,Malaysia,10.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,2.0,1:35.645,1:34.188,1:36.230,0.0,,97831.33928571429,4931.298955841465,28.4,0.9,0.9,99.0,28.432580424366872,56.0
24,19,9,2,4,4,2,2,2,8.0,56,+19.570,5498125,39,6,1:35.921,208.033,1,2008,2,2008-03-23,kubica,1984-12-07,Polish,BMW Sauber,18,Malaysia,11.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,6.0,1:35.794,1:34.811,1:36.727,0.0,,98180.80357142857,4857.698263093308,28.4,0.9,0.9,99.0,23.290896646132786,56.0
25,19,5,1,23,8,3,3,3,6.0,56,+38.450,5517005,19,7,1:35.922,208.031,1,2008,2,2008-03-23,kovalainen,1981-10-19,Finnish,McLaren,18,Malaysia,10.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,3.0,1:35.227,1:34.759,1:36.613,0.0,,98517.94642857143,5222.31723008315,28.4,0.9,0.9,99.0,26.425735797399042,56.0
26,19,15,7,11,3,4,4,4,5.0,56,+45.832,5524387,53,8,1:36.068,207.715,1,2008,2,2008-03-23,trulli,1974-07-13,Italian,Toyota,18,Malaysia,5.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,5.0,1:35.205,1:34.960,1:36.711,0.0,,98649.76785714286,5218.641568249074,28.4,0.9,0.9,99.0,33.69472963723477,56.0
27,19,1,1,22,9,5,5,5,4.0,56,+46.548,5525103,53,3,1:35.462,209.033,1,2008,2,2008-03-23,hamilton,1985-01-07,British,McLaren,18,Malaysia,10.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,4.0,1:35.392,1:34.627,1:36.709,0.0,,98662.55357142857,6238.336593325451,28.4,0.9,0.9,99.0,23.20602327173169,56.0
28,19,2,2,3,5,6,6,6,3.0,56,+49.833,5528388,55,1,1:35.366,209.244,1,2008,2,2008-03-23,heidfeld,1977-05-10,German,BMW Sauber,18,Malaysia,11.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,7.0,1:35.729,1:34.648,1:36.753,0.0,,98721.21428571429,5015.04156318963,28.4,0.9,0.9,99.0,30.869267624914443,56.0
29,19,17,9,10,6,7,7,7,2.0,56,+1:08.130,5546685,53,12,1:36.696,206.366,1,2008,2,2008-03-23,webber,1976-08-27,Australian,Red Bull,18,Malaysia,2.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,8.0,1:35.440,1:34.967,1:37.009,0.0,,99047.94642857143,5075.569078419206,28.4,0.9,0.9,99.0,31.57015742642026,56.0
30,19,4,4,5,7,8,8,8,1.0,56,+1:10.041,5548596,40,10,1:36.288,207.240,1,2008,2,2008-03-23,alonso,1981-07-29,Spanish,Renault,18,Malaysia,1.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,9.0,1:35.983,1:35.140,1:38.450,0.0,,99082.07142857143,5083.000809676193,28.4,0.9,0.9,99.0,26.650239561943874,56.0
31,19,14,9,9,12,9,9,9,0.0,56,+1:16.220,5554775,55,9,1:36.206,207.417,1,2008,2,2008-03-23,coulthard,1971-03-27,British,Red Bull,18,Malaysia,2.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,12.0,1:36.058,1:35.408,,0.0,,99192.41071428571,5071.343425300405,28.4,0.9,0.9,99.0,36.99110198494182,56.0
32,19,18,11,16,11,10,10,10,0.0,56,+1:26.214,5564769,56,4,1:35.715,208.481,1,2008,2,2008-03-23,button,1980-01-19,British,Honda,18,Malaysia,0.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,11.0,1:35.847,1:35.208,,0.0,,99370.875,5015.72492381347,28.4,0.9,0.9,99.0,28.175222450376456,56.0
33,19,12,4,6,13,11,11,11,0.0,56,+1:32.202,5570757,52,15,1:36.956,205.812,1,2008,2,2008-03-23,piquet_jr,1985-07-25,Brazilian,Renault,18,Malaysia,1.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,13.0,1:36.074,1:35.562,,0.0,,99477.80357142857,5029.039927966164,28.4,0.9,0.9,99.0,22.661190965092402,56.0
34,19,21,10,21,17,12,12,12,0.0,55,,,52,16,1:36.962,205.800,11,2008,2,2008-03-23,fisichella,1973-01-14,Italian,Force India,18,Malaysia,0.0,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,17.0,1:36.240,,,0.0,,100175.41818181818,5489.751976759056,28.4,0.9,0.9,99.0,35.186858316221766,55.0
35,19,22,11,17,14,13,13,13,0.0,55,,,55,11,1:36.693,206.372,11,2008,2,2008-03-23,barrichello,1972-05-23,Brazilian,Honda,18,Malaysia,0.0,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,14.0,1:36.198,1:35.622,,0.0,,100219.43636363637,5406.007528542039,28.4,0.9,0.9,99.0,35.832991101984945,55.0
36,19,3,3,7,16,14,14,14,0.0,55,,,55,13,1:36.782,206.182,11,2008,2,2008-03-23,rosberg,1985-06-27,German,Williams,18,Malaysia,0.0,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,16.0,1:35.843,1:35.670,,0.0,,100385.94545454545,7042.892483490492,28.4,0.9,0.9,99.0,22.7378507871321,55.0
37,19,19,8,19,21,15,15,15,0.0,55,,,55,18,1:38.171,203.265,11,2008,2,2008-03-23,davidson,1979-04-18,British,Super Aguri,18,Malaysia,0.0,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,22.0,1:37.481,,,0.0,,101260.5090909091,5660.310951649235,28.4,0.9,0.9,99.0,28.930869267624914,55.0
38,19,11,8,18,19,16,16,16,0.0,54,,,53,19,1:38.504,202.578,12,2008,2,2008-03-23,sato,1977-01-28,Japanese,Super Aguri,18,Malaysia,0.0,+2 Laps,http://en.wikipedia.org/wiki/2008_Formula_One_season,20.0,1:37.087,,,0.0,,101595.07407407407,5492.036395363238,28.4,0.9,0.9,99.0,31.148528405201915,54.0
39,19,6,3,8,22,17,17,17,0.0,54,,,19,17,1:37.711,204.222,12,2008,2,2008-03-23,nakajima,1985-01-11,Japanese,Williams,18,Malaysia,0.0,+2 Laps,http://en.wikipedia.org/wiki/2008_Formula_One_season,18.0,1:36.388,,,0.0,,101798.72222222222,7363.599182559005,28.4,0.9,0.9,99.0,23.195071868583163,54.0
40,19,20,5,15,15,,R,18,0.0,39,,,37,14,1:36.870,205.995,5,2008,2,2008-03-23,vettel,1987-07-03,German,Toro Rosso,18,Malaysia,0.0,Engine,http://en.wikipedia.org/wiki/2008_Formula_One_season,15.0,1:36.111,1:35.648,,0.0,,99910.10256410256,4818.713951574475,28.4,0.9,0.9,99.0,20.722792607802873,39.0
