raceId,year,grid,circuitId,constructorId,driverId,driver_age,positionOrder,alt,points_constructor,round,event,driver_number,driver_code,constructor,grid_position,finish_position,position_gain,points,dnf
18.0,2008,1.0,1.0,1.0,1.0,23.18685831622177,1.0,10.0,14.0,,,,,,,,,,
36.0,2007,1.0,1.0,6.0,8.0,27.416837782340863,1.0,10.0,13.0,,,,,,,,,,
53.0,2006,4.0,3.0,4.0,4.0,24.618754277891856,1.0,7.0,10.0,,,,,,,,,,
71.0,2005,1.0,1.0,4.0,21.0,32.139630390143736,1.0,10.0,16.0,,,,,,,,,,
90.0,2004,1.0,1.0,6.0,30.0,35.17316906228611,1.0,10.0,18.0,,,,,,,,,,
108.0,2003,11.0,1.0,1.0,14.0,31.95071868583162,1.0,10.0,16.0,,,,,,,,,,
124.0,2002,2.0,1.0,6.0,30.0,33.16084873374401,1.0,10.0,10.0,,,,,,,,,,
141.0,2001,1.0,1.0,6.0,30.0,32.16427104722793,1.0,10.0,14.0,,,,,,,,,,
158.0,2000,3.0,1.0,6.0,30.0,31.18685831622177,1.0,10.0,16.0,,,,,,,,,,
175.0,1999,6.0,1.0,6.0,56.0,33.31964407939768,1.0,10.0,10.0,,,,,,,,,,
191.0,1998,1.0,1.0,1.0,57.0,29.440109514031484,1.0,10.0,16.0,,,,,,,,,,
207.0,1997,4.0,1.0,1.0,14.0,25.95208761122519,1.0,10.0,14.0,,,,,,,,,,
224.0,1996,2.0,1.0,3.0,71.0,35.47707049965777,1.0,10.0,16.0,,,,,,,,,,
240.0,1995,2.0,18.0,22.0,30.0,26.223134839151268,1.0,785.0,10.0,,,,,,,,,,
257.0,1994,2.0,18.0,22.0,30.0,25.22655715263518,1.0,785.0,10.0,,,,,,,,,,
273.0,1993,1.0,30.0,3.0,117.0,38.050650239561946,1.0,1460.0,10.0,,,,,,,,,,
289.0,1992,1.0,30.0,3.0,95.0,38.56262833675565,1.0,1460.0,16.0,,,,,,,,,,
305.0,1991,1.0,33.0,1.0,102.0,30.9678302532512,1.0,345.0,10.0,,,,,,,,,,
321.0,1990,5.0,33.0,1.0,102.0,29.971252566735117,1.0,345.0,9.0,,,,,,,,,,
1.0,2009,1.0,1.0,23.0,18.0,29.190965092402465,1.0,10.0,18.0,,,,,,,,,,
356.0,1989,6.0,36.0,6.0,95.0,35.630390143737166,1.0,1126.0,9.0,,,,,,,,,,
372.0,1988,3.0,36.0,1.0,117.0,33.106091718001366,1.0,1126.0,9.0,,,,,,,,,,
388.0,1987,5.0,36.0,1.0,117.0,32.12867898699521,1.0,1126.0,13.0,,,,,,,,,,
