raceId,weather_temp_c,weather_precip_mm,weather_rain_mm,weather_cloud_pct
1,23.0,0.0,0.0,2
2,26.4,4.2,4.2,100
3,19.2,0.9,0.9,100
4,30.1,0.0,0.0,14
5,21.3,0.0,0.0,95
6,27.0,0.0,0.0,9
7,28.9,0.0,0.0,1
8,15.7,0.0,0.0,94
9,16.4,0.0,0.0,92
10,23.5,0.0,0.0,24
11,32.5,0.0,0.0,0
12,16.9,0.0,0.0,100
13,25.3,0.0,0.0,38
14,28.4,0.0,0.0,100
15,24.9,0.0,0.0,0
16,23.8,1.0,1.0,94
17,35.0,0.0,0.0,0
18,37.1,0.0,0.0,30
19,28.4,0.9,0.9,99
20,24.7,0.0,0.0,5
21,20.0,0.0,0.0,69
22,15.8,0.0,0.0,56
23,19.4,0.7,0.7,100
24,28.6,0.0,0.0,95
25,26.2,0.0,0.0,72
26,13.5,1.0,1.0,99
27,22.1,0.0,0.0,61
28,26.6,0.0,0.0,18
29,30.2,0.0,0.0,8
30,13.5,0.0,0.0,78
31,15.9,0.6,0.6,99
32,28.3,0.0,0.0,42
33,17.5,0.0,0.0,100
34,25.4,0.6,0.6,71
35,25.0,0.2,0.2,99
36,20.5,0.0,0.0,1
37,28.5,1.7,1.7,95
38,24.8,0.0,0.0,0
39,24.7,0.0,0.0,90
40,20.9,0.0,0.0,76
41,23.4,0.0,0.0,44
42,33.1,0.0,0.0,42
43,21.1,0.0,0.0,100
44,16.8,0.0,0.0,53
45,17.0,0.0,0.0,35
46,24.4,0.0,0.0,94
47,33.0,0.0,0.0,0
48,24.1,0.0,0.0,1
49,18.4,0.0,0.0,49
50,14.7,0.8,0.8,100
51,25.4,2.5,2.5,100
52,32.2,0.0,0.0,100
53,19.8,0.0,0.0,0
54,25.9,0.0,0.0,98
55,12.8,0.0,0.0,96
56,23.3,0.0,0.0,12
57,17.1,0.0,0.0,83
58,22.9,0.0,0.0,97
59,23.4,0.0,0.0,53
60,23.4,0.0,0.0,95
61,19.6,0.0,0.0,26
62,26.2,0.0,0.0,73
63,32.8,0.0,0.0,29
64,30.5,0.0,0.0,94
65,18.4,0.0,0.0,47
66,31.3,0.0,0.0,4
67,24.6,0.0,0.0,31
68,20.8,0.0,0.0,83
69,16.3,0.0,0.0,0
70,20.4,0.0,0.0,44
71,13.4,0.0,0.0,24
72,26.6,0.0,0.0,28
73,29.2,0.0,0.0,7
74,19.2,0.0,0.0,100
75,19.9,0.0,0.0,3
76,21.1,0.0,0.0,16
77,21.3,0.0,0.0,23
78,25.2,0.0,0.0,100
79,19.5,0.0,0.0,26
80,28.4,0.0,0.0,30
81,24.8,0.0,0.0,38
82,22.0,0.0,0.0,100
83,33.6,0.0,0.0,15
84,25.3,0.0,0.0,30
85,23.5,0.0,0.0,75
86,17.3,0.4,0.4,99
87,20.6,0.6,0.6,100
88,19.3,0.0,0.0,87
89,15.9,0.0,0.0,0
90,15.0,0.0,0.0,97
91,25.9,0.0,0.0,100
92,27.4,0.0,0.0,80
93,16.2,0.0,0.0,35
94,16.4,0.0,0.0,32
95,17.8,0.0,0.0,33
96,19.6,0.0,0.0,62
97,19.7,0.0,0.0,45
98,16.5,0.0,0.0,23
99,25.7,0.0,0.0,0
100,16.7,0.0,0.0,97
101,25.1,0.0,0.0,76
102,23.6,0.0,0.0,21
103,17.6,0.0,0.0,93
104,22.4,0.0,0.0,64
105,21.7,0.0,0.0,42
106,20.4,0.0,0.0,91
107,26.4,0.0,0.0,100
108,16.2,0.0,0.0,74
109,26.4,0.9,0.9,46
110,21.1,0.4,0.4,100
111,17.3,0.0,0.0,100
112,22.5,0.0,0.0,0
113,18.3,0.0,0.0,77
114,21.7,0.2,0.2,100
115,16.4,0.0,0.0,45
116,22.5,0.0,0.0,63
117,22.5,0.0,0.0,98
118,21.9,0.0,0.0,46
119,34.8,0.0,0.0,6
120,27.6,0.0,0.0,0
121,22.2,0.0,0.0,0
122,10.6,0.0,0.0,61
123,21.6,0.0,0.0,99
124,15.1,0.0,0.0,47
125,26.0,0.0,0.0,96
126,27.4,0.0,0.0,1
127,17.9,0.0,0.0,67
128,18.6,0.0,0.0,100
129,14.9,0.9,0.9,89
130,21.0,0.0,0.0,25
131,19.9,0.0,0.0,65
132,19.4,0.0,0.0,66
133,17.4,0.2,0.2,89
134,23.8,0.0,0.0,30
135,27.8,0.0,0.0,0
136,27.0,0.0,0.0,25
137,15.2,0.0,0.0,86
138,23.9,0.0,0.0,1
139,17.8,0.0,0.0,1
140,18.6,0.0,0.0,1
141,17.8,0.0,0.0,4
142,25.8,0.0,0.0,51
143,25.8,0.0,0.0,65
144,13.7,0.0,0.0,99
145,17.4,0.0,0.0,96
146,18.7,0.0,0.0,26
147,24.8,0.0,0.0,72
148,19.5,0.0,0.0,11
149,20.9,0.0,0.0,9
150,23.3,0.0,0.0,0
151,15.9,0.0,0.0,71
152,28.0,0.0,0.0,56
153,29.6,0.0,0.0,44
154,15.0,0.0,0.0,100
155,20.3,0.0,0.0,23
156,12.7,0.0,0.0,0
157,14.4,0.0,0.0,0
158,19.9,0.0,0.0,91
159,23.8,0.0,0.0,98
160,17.2,0.0,0.0,100
161,13.6,0.0,0.0,63
162,18.7,0.0,0.0,59
163,10.0,0.6,0.6,99
164,25.4,0.0,0.0,8
165,15.0,0.2,0.2,99
166,29.2,0.0,0.0,83
167,15.3,0.0,0.0,99
