raceId,year,grid,circuitId,constructorId,driverId,driver_age,positionOrder
18,2008,1,1,1,1,23.186858316221766,1
18,2008,5,1,2,2,30.850102669404517,2
18,2008,7,1,3,3,22.718685831622178,3
18,2008,11,1,4,4,26.63107460643395,4
18,2008,3,1,1,5,26.406570841889117,5
18,2008,13,1,3,6,23.175906913073238,6
18,2008,17,1,5,7,29.045859000684462,7
18,2008,15,1,6,8,28.413415468856947,8
18,2008,2,1,2,9,23.27173169062286,9
18,2008,18,1,7,10,25.9958932238193,10
18,2008,19,1,8,11,31.129363449691994,11
18,2008,20,1,4,12,22.642026009582477,12
18,2008,4,1,6,13,26.8911704312115,13
18,2008,8,1,9,14,36.9719370294319,14
18,2008,6,1,7,15,33.67556468172484,15
18,2008,22,1,10,16,25.177275838466805,16
18,2008,14,1,9,17,31.550992470910334,17
18,2008,12,1,11,18,28.15605749486653,18
18,2008,21,1,8,19,28.91170431211499,19
18,2008,9,1,5,20,20.70362765229295,20
18,2008,16,1,10,21,35.167693360711844,21
18,2008,10,1,11,22,35.813826146475016,22
19,2008,2,2,6,8,28.432580424366872,1
19,2008,4,2,2,9,23.290896646132786,2
19,2008,8,2,1,5,26.425735797399042,3
19,2008,3,2,7,15,33.69472963723477,4
19,2008,9,2,1,1,23.20602327173169,5
19,2008,5,2,2,2,30.869267624914443,6
19,2008,6,2,9,17,31.57015742642026,7
19,2008,7,2,4,4,26.650239561943874,8
19,2008,12,2,9,14,36.99110198494182,9
19,2008,11,2,11,18,28.175222450376456,10
19,2008,13,2,4,12,22.661190965092402,11
19,2008,17,2,10,21,35.186858316221766,12
19,2008,14,2,11,22,35.832991101984945,13
19,2008,16,2,3,3,22.7378507871321,14
19,2008,21,2,8,19,28.930869267624914,15
19,2008,19,2,8,11,31.148528405201915,16
19,2008,22,2,3,6,23.195071868583163,17
19,2008,15,2,5,20,20.722792607802873,18
19,2008,1,2,6,13,26.910335386721425,19
19,2008,20,2,10,16,25.196440793976727,20
19,2008,10,2,7,10,26.015058179329227,21
19,2008,18,2,5,7,29.065023956194388,22
20,2008,2,3,6,13,26.94866529774127,1
20,2008,4,3,6,8,28.470910335386723,2
20,2008,1,3,2,9,23.329226557152634,3
20,2008,6,3,2,2,30.90759753593429,4
20,2008,5,3,1,5,26.46406570841889,5
20,2008,7,3,7,15,33.73305954825462,6
20,2008,11,3,9,17,31.60848733744011,7
20,2008,8,3,3,3,22.77618069815195,8
20,2008,13,3,7,10,26.053388090349078,9
20,2008,10,3,4,4,26.688569472963724,10
20,2008,12,3,11,22,35.87132101300479,11
20,2008,18,3,10,21,35.22518822724162,12
20,2008,3,3,1,1,23.24435318275154,13
20,2008,16,3,3,6,23.23340177960301,14
20,2008,15,3,5,7,29.10335386721424,15
20,2008,21,3,8,19,28.969199178644764,16
20,2008,22,3,8,11,31.186858316221766,17
20,2008,17,3,9,14,37.02943189596167,18
20,2008,20,3,10,16,25.234770704996578,19
20,2008,14,3,4,12,22.699520876112253,20
20,2008,9,3,11,18,28.213552361396303,21
20,2008,19,3,5,20,20.761122518822724,22
21,2008,1,4,6,8,28.528405201916495,1
21,2008,3,4,6,13,27.006160164271048,2
21,2008,5,4,1,1,23.301848049281315,3
21,2008,4,4,2,9,23.38672142368241,4
21,2008,7,4,9,17,31.665982203969882,5
21,2008,13,4,11,18,28.27104722792608,6
21,2008,12,4,3,6,23.290896646132786,7
21,2008,8,4,7,15,33.790554414784395,8
21,2008,9,4,2,2,30.965092402464066,9
21,2008,19,4,10,21,35.28268309377139,10
21,2008,14,4,7,10,26.11088295687885,11
21,2008,17,4,9,14,37.086926762491444,12
21,2008,22,4,8,11,31.24435318275154,13
21,2008,15,4,3,3,22.833675564681723,14
21,2008,2,4,4,4,26.746064339493497,15
21,2008,11,4,11,22,35.92881587953457,16
21,2008,6,4,1,5,26.521560574948666,17
21,2008,21,4,8,19,29.026694045174537,18
21,2008,16,4,5,7,29.16084873374401,19
21,2008,10,4,4,12,22.757015742642025,20
21,2008,20,4,10,16,25.29226557152635,21
21,2008,18,4,5,20,20.8186173853525,22
22,2008,1,5,6,13,27.044490075290895,1
22,2008,3,5,1,1,23.340177960301162,2
22,2008,4,5,6,8,28.566735112936346,3
22,2008,5,5,2,9,23.42505133470226,4
22,2008,9,5,2,2,31.003422313483917,5
22,2008,7,5,4,4,26.784394250513348,6
22,2008,6,5,9,17,31.704312114989733,7
22,2008,11,5,3,3,22.872005475701574,8
22,2008,10,5,9,14,37.125256673511295,9
22,2008,8,5,7,15,33.828884325804246,10
22,2008,13,5,11,18,28.309377138945926,11
22,2008,2,5,1,5,26.559890485968516,12
22,2008,15,5,7,10,26.1492128678987,13
22,2008,12,5,11,22,35.96714579055441,14
22,2008,17,5,4,12,22.795345653661876,15
22,2008,19,5,10,16,25.3305954825462,16
22,2008,14,5,5,20,20.856947296372347,17
22,2008,18,5,5,7,29.19917864476386,18
22,2008,16,5,3,6,23.329226557152634,19
22,2008,20,5,10,21,35.32101300479124,20
23,2008,3,6,1,1,23.378507871321013,1
23,2008,5,6,2,9,23.463381245722108,2
23,2008,1,6,6,13,27.082819986310746,3
23,2008,9,6,9,17,31.742642026009584,4
23,2008,19,6,5,20,20.895277207392198,5
23,2008,14,6,11,22,36.00547570157426,6
23,2008,13,6,3,6,23.367556468172484,7
23,2008,4,6,1,5,26.598220396988363,8
23,2008,2,6,6,8,28.605065023956193,9
23,2008,7,6,4,4,26.822724161533195,10
23,2008,11,6,11,18,28.347707049965777,11
23,2008,10,6,7,10,26.187542778918548,12
23,2008,8,6,7,15,33.86721423682409,13
23,2008,12,6,2,2,31.041752224503764,14
23,2008,18,6,10,16,25.36892539356605,15
23,2008,6,6,3,3,22.910335386721425,16
23,2008,17,6,4,12,22.833675564681723,17
23,2008,20,6,10,21,35.35934291581109,18
23,2008,15,6,9,14,37.163586584531146,19
23,2008,16,6,5,7,29.23750855578371,20
24,2008,2,7,2,9,23.50171115674196,1
24,2008,8,7,2,2,31.080082135523615,2
24,2008,13,7,9,14,37.20191649555099,3
24,2008,11,7,7,10,26.2258726899384,4
24,2008,6,7,6,13,27.121149897330596,5
24,2008,14,7,7,15,33.90554414784394,6
24,2008,9,7,11,22,36.04380561259411,7
24,2008,19,7,5,20,20.933607118412045,8
24,2008,7,7,1,5,26.636550308008214,9
24,2008,5,7,3,3,22.94866529774127,10
24,2008,20,7,11,18,28.386036960985628,11
24,2008,10,7,9,17,31.78097193702943,12
24,2008,18,7,5,7,29.27583846680356,13
24,2008,17,7,10,21,35.397672826830934,14
24,2008,12,7,3,6,23.405886379192335,15
24,2008,4,7,4,4,26.861054072553046,16
24,2008,15,7,4,12,22.872005475701574,17
24,2008,3,7,6,8,28.643394934976044,18
24,2008,1,7,1,1,23.416837782340863,19
24,2008,16,7,10,16,25.4072553045859,20
25,2008,2,8,6,13,27.159479808350444,1
25,2008,1,8,6,8,28.681724845995895,2
25,2008,4,8,7,15,33.94387405886379,3
25,2008,10,8,1,5,26.67488021902806,4
25,2008,5,8,2,9,23.540041067761805,5
25,2008,6,8,9,17,31.81930184804928,6
25,2008,9,8,4,12,22.910335386721425,7
25,2008,3,8,4,4,26.899383983572896,8
25,2008,7,8,9,14,37.24024640657084,9
25,2008,13,8,1,1,23.45516769336071,10
25,2008,8,8,7,10,26.26420260095825,11
25,2008,12,8,5,20,20.971937029431896,12
25,2008,11,8,2,2,31.11841204654346,13
25,2008,20,8,11,22,36.082135523613964,14
25,2008,15,8,3,6,23.444216290212182,15
25,2008,19,8,3,3,22.986995208761122,16
25,2008,14,8,5,7,29.31416837782341,17
25,2008,17,8,10,21,35.436002737850785,18
25,2008,18,8,10,16,25.44558521560575,19
25,2008,16,8,11,18,28.424366872005475,20
26,2008,4,9,1,1,23.49349760438056,1
26,2008,5,9,2,2,31.156741957563312,2
26,2008,16,9,11,22,36.120465434633815,3
26,2008,3,9,6,8,28.720054757015742,4
26,2008,1,9,1,5,26.713210130047912,5
26,2008,6,9,4,4,26.937713894592743,6
26,2008,14,9,7,15,33.98220396988364,7
26,2008,15,9,3,6,23.482546201232033,8
26,2008,20,9,3,3,23.025325119780973,9
26,2008,2,9,9,17,31.857631759069132,10
26,2008,13,9,5,7,29.352498288843258,11
26,2008,12,9,7,10,26.302532511978097,12
26,2008,9,9,6,13,27.197809719370294,13
26,2008,10,9,2,9,23.578370978781656,14
26,2008,17,9,11,18,28.462696783025326,15
26,2008,7,9,4,12,22.94866529774127,16
26,2008,19,9,10,21,35.474332648870636,17
26,2008,18,9,10,16,25.4839151266256,18
26,2008,8,9,5,20,21.010266940451746,19
26,2008,11,9,9,14,37.27857631759069,20
27,2008,1,10,1,1,23.531827515400412,1
27,2008,17,10,4,12,22.986995208761122,2
27,2008,2,10,6,13,27.236139630390145,3
27,2008,12,10,2,2,31.195071868583163,4
27,2008,3,10,1,5,26.751540041067763,5
27,2008,6,10,6,8,28.758384668035593,6
27,2008,7,10,2,9,23.616700889801507,7
27,2008,9,10,5,20,21.048596851471594,8
27,2008,4,10,7,15,34.02053388090349,9
27,2008,13,10,3,3,23.06365503080082,10
27,2008,5,10,4,4,26.976043805612594,11
27,2008,15,10,5,7,29.39082819986311,12
27,2008,10,10,9,14,37.31690622861054,13
27,2008,16,10,3,6,23.520876112251884,14
27,2008,19,10,10,16,25.522245037645447,15
27,2008,20,10,10,21,35.51266255989049,16
